id,name,nativeToken,nativeReputation,network
0x0b93ba560283350d4216f29dc57e15df38d0eace,CuraDAO,0x2d3ca07e3c36b9aeec572a3c625cb45a7a88984a,0xe2c2bbf97599c448aba4561006c8d5929ac08e13,mainnet
0x15344ecdc2c4edfcb092e284d93c20f0529fd8a6,dOrg,0x3b2d0c1b652d5fad3a43f4ada7265371eac050d4,0x53757c07fa372d1ac873c701dccfd1ebcc563e0e,mainnet
0x273d0f686a53a49a0fba2a801566b19f9aaf8fcd,PrimeDAO,0x40cb13628f087dfcfa6d6c717e9fbf5d5b8bd964,0x4352a94ccb3ea07e16734f66a94e94e474a50b5f,mainnet
0x294f999356ed03347c7a23bcbcf8d33fa41dc830,Genesis Alpha,0xf88bfeab7217376f33db368a3d3dc11b1433bdfb,0x30412f4c06343d65c06b5a0bba6821cf37e605fa,mainnet
0x2b8c70fffda7f3d7667f7cfede1429313886329c,ETHGlobal,0xe5ac9a487f366b6092df1ab59209c4ee4f26236d,0x45413ccd9870c89980dbae9c11315a8a1c1f3f2f,mainnet
0x3324b516df92e78463d8b0616dd146cf6c58b0b9,efxDAO,0x59beb908dcb2fa2ea3f355c5c3e83ef0bc831ffb,0x3fdbc809ddb9389d6f28edd6191e5d3e167b4118,mainnet
0x39757e7cdb7022c3829195d57b29428d79593c9d,Trips Community DAO,0xb8aeb358df2de578cba12f73fae16064102eb180,0x24d50ceba58a0ac802dd68e75a847d68751ab9a5,mainnet
0x440583455bcd85ab2bd429c015d3aabcae135f0a,PolkaDAO,0x0ede65cfafdb01e06dca4323cbe2f2b30d6a7c6c,0x83292075bb0aa563d082040126ff5879dfdd1f8a,mainnet
0x45cf7d5c503b6417d570929368b8f4c4567ad9eb,BuffiDAO,0x62bb92a45e4132449cab13670d858d9320b3f9df,0x1d995a9898d20923db530d7aa505fb418e7c72dd,mainnet
0x519b70055af55a007110b4ff99b0ea33071c720a,dxDAO,0x643b14f6ea235668278da5974930105852f2b7c4,0x7a927a93f221976aae26d5d077477307170f0b7c,mainnet
0x5f667f138d6c5559a0966c241c867feeaea4c28c,HackerDAO A,0x793543ad25ed9d3a37adbed6d6fcd713adb49f2c,0xadf76f97085bd251849d91aea8ecfacc91c49791,mainnet
0x61151f7ef32c920794ed89b2545f1672266d6420,The General Store DAO,0x1645fafbe0e2261d17dc6110205374b24cd5b378,0xc6a8ebc459d300794a79273265f06ea7cf72e31f,mainnet
0x6191cb94a29a3ca870adea25cd72e995303c2848,Fortmatic DAO,0x399990c46dc242f7af9e6562a6c2d77758817318,0x15fe5f6779ae33db4184976f5082c9f41c9e7676,mainnet
0x63df13b12bac071ba31b6599b8d97c82cb96a768,The Illuminati,0x94cba4d4162edb9a23f970bbf44abe6da835a6c4,0x053daad11be2cbaf74ea64ad1b57094a01280ed2,mainnet
0x6bee9b81e434f7afce72a43a4016719315069539,Kyber DAO Exp#2,0x7a334d5ba02490aa7be1307d235a4b021f8574be,0xed1c0bb038b370a16242f077899ee1e5e7d6add1,mainnet
0x70c36947837b43665ed5ea85c112aa0f72cf9fb3,Psychedelic Society DAO,0x1ce602adfd669ec4525205f784f797fd5043560c,0x54664a007fa9212fdb35786b607fc103d9a36059,mainnet
0x8709962c7469fda4913ba8867964d7e592ec2c69,TuneDAO,0xf426866bfee66aa4bc99283ad3e29a6daaa79bac,0xfb71f0c78811d08b55454f414549af4a7bdf2d7a,mainnet
0x8990e11b69403ea53ef2b32434bbd7dbf84b5234,FestDAO,0x11ea60aaf6b5fbe00e7dc5f0b336ed61d29b7d2c,0xcc6d1b8f2f0a1d48fbd3adba991a0b0ef8a342a2,mainnet
0xafdd1eb2511cd891acf2bff82dabf47e0c914d24,1UP,0x089eac7e3180b7995fe218c18440a0d262ae8985,0x705a7655ae5099e5bdc76bbd67dffc6d7824c0ba,mainnet
0xe56b4d8d42b1c9ea7dda8a6950e3699755943de7,necDAO,0x760877788e5fe5081e14f1cf07059c49efe959ba,0x9bcc45cba43cf699289fcc0f72e5095fa53bffee,mainnet
0xe8e1d0f1783b22ff409deb14fa5acc9cce2a3d15,DAOfund,0x3e8bcf4ce0a3f54d0bd1b0799f7abfc4c5b9fbae,0x462de5f48155cfb8acd76564930d737ca55e35aa,mainnet
0xee7fa430a7e513d3df962ed0c0e285bc6f87fc24,CENNZnet Grants DAO,0x340b166e566616c2726a28e806f0c75ca1b3331e,0x0308d38c5c8ca382eddbc48403fb0fa3fd9c0c2f,mainnet
0xf931ff012cbff471cccb90a784e3e88b512c890a,DetroitDAO,0xe6448c6502f41ee2949e0d7fa7eb3c8846f909f9,0x68ccb9a589012db8c697c3e9e1908c2adeec4bf4,mainnet
